"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.16","13.32.14.97","TLSv1.2","259","Application Data"
"2","0.002525","192.168.1.16","13.32.14.97","TLSv1.2","155","Application Data"
"3","0.002544","192.168.1.16","13.32.14.97","TLSv1.2","159","Application Data"
"4","0.005114","192.168.1.16","13.32.14.97","TLSv1.2","160","Application Data"
"5","0.005222","192.168.1.16","13.32.14.97","TLSv1.2","156","Application Data"
"6","0.005223","192.168.1.16","13.32.14.97","TLSv1.2","155","Application Data"
"7","0.005224","192.168.1.16","13.32.14.97","TLSv1.2","149","Application Data"
"8","0.007911","192.168.1.16","13.32.14.97","TLSv1.2","160","Application Data"
"9","0.007967","192.168.1.16","13.32.14.97","TLSv1.2","166","Application Data"
"10","0.007968","192.168.1.16","13.32.14.97","TLSv1.2","166","Application Data"
"11","0.007968","192.168.1.16","130.211.190.72","TLSv1.2","517","Application Data"
"12","0.048758","13.32.14.97","192.168.1.16","TCP","66","443  >  59312 [ACK] Seq=1 Ack=283 Win=126 Len=0 TSval=4019643811 TSecr=378892386"
"13","0.050997","13.32.14.97","192.168.1.16","TCP","1514","443  >  59312 [ACK] Seq=1 Ack=376 Win=126 Len=1448 TSval=4019643812 TSecr=378892388 [TCP segment of a reassembled PDU]"
"14","0.051005","13.32.14.97","192.168.1.16","TCP","1514","443  >  59312 [ACK] Seq=1449 Ack=376 Win=126 Len=1448 TSval=4019643812 TSecr=378892388 [TCP segment of a reassembled PDU]"
"15","0.051117","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1026 Ack=2897 Win=4005 Len=0 TSval=378892434 TSecr=4019643812"
"16","0.051245","192.168.1.16","13.32.14.97","TCP","66","[TCP Window Update] 59312  >  443 [ACK] Seq=1026 Ack=2897 Win=4096 Len=0 TSval=378892434 TSecr=4019643812"
"17","0.053045","13.32.14.97","192.168.1.16","TCP","1514","443  >  59312 [ACK] Seq=2897 Ack=376 Win=126 Len=1448 TSval=4019643812 TSecr=378892388 [TCP segment of a reassembled PDU]"
"18","0.053056","13.32.14.97","192.168.1.16","TCP","1514","443  >  59312 [ACK] Seq=4345 Ack=376 Win=126 Len=1448 TSval=4019643812 TSecr=378892388 [TCP segment of a reassembled PDU]"
"19","0.053172","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1026 Ack=5793 Win=4005 Len=0 TSval=378892436 TSecr=4019643812"
"20","0.053212","192.168.1.16","13.32.14.97","TCP","66","[TCP Window Update] 59312  >  443 [ACK] Seq=1026 Ack=5793 Win=4096 Len=0 TSval=378892436 TSecr=4019643812"
"21","0.054143","13.32.14.97","192.168.1.16","TCP","1514","443  >  59312 [ACK] Seq=5793 Ack=376 Win=126 Len=1448 TSval=4019643812 TSecr=378892388 [TCP segment of a reassembled PDU]"
"22","0.054150","13.32.14.97","192.168.1.16","TLSv1.2","92","Application Data"
"23","0.054151","13.32.14.97","192.168.1.16","TLSv1.2","104","Application Data"
"24","0.054152","13.32.14.97","192.168.1.16","TLSv1.2","545","Application Data"
"25","0.054154","13.32.14.97","192.168.1.16","TCP","66","443  >  59312 [ACK] Seq=7784 Ack=649 Win=126 Len=0 TSval=4019643812 TSecr=378892390"
"26","0.054224","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1026 Ack=7267 Win=4049 Len=0 TSval=378892437 TSecr=4019643812"
"27","0.054225","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1026 Ack=7305 Win=4048 Len=0 TSval=378892437 TSecr=4019643812"
"28","0.054239","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1026 Ack=7784 Win=4033 Len=0 TSval=378892437 TSecr=4019643812"
"29","0.055150","13.32.14.97","192.168.1.16","TLSv1.2","546","Application Data"
"30","0.055156","13.32.14.97","192.168.1.16","TLSv1.2","546","Application Data"
"31","0.055158","13.32.14.97","192.168.1.16","TLSv1.2","543","Application Data"
"32","0.055221","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1026 Ack=8264 Win=4081 Len=0 TSval=378892437 TSecr=4019643812"
"33","0.055246","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1026 Ack=8744 Win=4066 Len=0 TSval=378892438 TSecr=4019643812"
"34","0.055247","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1026 Ack=9221 Win=4051 Len=0 TSval=378892438 TSecr=4019643812"
"35","0.056254","13.32.14.97","192.168.1.16","TLSv1.2","544","Application Data"
"36","0.056258","13.32.14.97","192.168.1.16","TLSv1.2","546","Application Data"
"37","0.056259","13.32.14.97","192.168.1.16","TCP","66","443  >  59312 [ACK] Seq=10179 Ack=1026 Win=126 Len=0 TSval=4019643812 TSecr=378892392"
"38","0.056318","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1026 Ack=9699 Win=4036 Len=0 TSval=378892439 TSecr=4019643812"
"39","0.056341","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1026 Ack=10179 Win=4021 Len=0 TSval=378892439 TSecr=4019643812"
"40","0.057368","13.32.14.97","192.168.1.16","TLSv1.2","544","Application Data"
"41","0.057373","13.32.14.97","192.168.1.16","TLSv1.2","547","Application Data"
"42","0.057430","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1026 Ack=10657 Win=4081 Len=0 TSval=378892440 TSecr=4019643812"
